Exterior Description,Directions,Fireplace Y/N,Irrigation Water Rights Y/N,Inclusions,Basement,Bedrooms Possible,Window Features,Land Lease Y/N,Garage Y/N,Gulf-Front,Baths Full Lower,Interior Amenities,Living Area,Building Area Units,Street Name,Air Conditioning Y/N,Close Price,Parcel Number,FuelDescription,Stories Count,Bathrooms,Association Fee Includes,Bedrooms Upper,Property Style,PropertySubType,Assoc Fee Paid Per,Heating Y/N,Standard Status,Baths Half Lower,Accessory Dwelling Unit,Hot Water,MobileHomeRemainsYN,Public Remarks,description,Waterfront Features,Water Heater Location,Waterfront Footage,Exterior Features,ADU,Adult Family Homes,Baths Three Quarter Main,Open Parking Y/N,Total Parking,Property Subtype,Site Features,Street Suffix,1/2 Baths,Interior Features,Accessibility,Sewer,Zoning Description,Full Baths,Green Energy Generation,Heating,address,Fireplaces Lower,Skirt,Road Surface Type,Security Features,Green Verification NWESH Rating,Covered Spaces,house_size,Park Name,Middle/Junior High School,Tax Annual Amount,Virtual Tour,Building Name,WaterfrontY/N,price,Building Area Total,Subdivision Name,Year Built,NWM_ShowMapLink,MLS Area,Accessory Dwelling Unit Y/N,Bedrooms Lower,Baths Three Quarter Garage,Home Owner Assoc,HOA / Comm Assn,Community Features,Baths Full Garage,Lot Size Units,ModificationTimestamp,Pool Type,Green Building Verification Type,Baths Full Main,Lot Size Square Feet,Unit Number,Fireplaces Upper,baths,Power Production Type,Baths Three Quarter Upper,Living Area Units,Possession,Levels,Property SubType,Elementary School,Attached Garage,Building Design,Disclosures,Open Parking Spaces,Make,Roof,VA loan,Appliances,Home Owner Assoc:,Pool Features,Body Type,Legal Description,View,Other Rooms,Baths Half Main,Water Heater Type,Total Baths,Land Lease Amount Frequency,Vegetation,Status,Spa,lot_size,High School,Lot Number,Storage Locattion,Total Bathrooms,Builder Name,Baths Half Upper,Cooling,Water Source,New Construction,Senior Community Y/N,Topography,3/4 Baths,Half Baths,Total Actual Rent,Carport Spaces,Water Company,Structure Type,SeniorCommunityYn,Land Lease Amount,Terms,Fireplace Features,Pets Allowed,Flooring,High School District,Green Verification HERS Metric,Carport Y/N,Green Verification Built Green Rating,Parking Features,Entry Location,Special Listing Conditions,Exterior Amenities,AFH,Facing Direction,HOA,Tax Year,Property Type,Total Bedrooms,Energy Efficient,City,Home Owner Association Y/N,Lot Dimensions,url,Lot Size Acres,Total Fireplaces,Fireplaces Main,HOA Fee,Main Level Bedrooms,Buyer Financing,status,AttributionContact,Parking Uncovered Total,Property Condition,Baths Half Garage,Model,Architectural Style,Garage Spaces,ListingTerms,Baths Full Upper,Foundation Details,Waterfront Y/N,Baths Three Quarter Lower,beds,Listing Terms,View Y/N,County,Lot Features,Number of Homes in Park,Assoc/CIC,Latitude,Longitude
,Corner of 62nd and Junett - Follow your friendly GPS,Yes,No,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,2,,No,Yes,,0,,,0 sqft,,No,"$270,500 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,Great Investment Opportunity for those who want to earn equity. This little gem is ready for your elbow grease. It's bathed in natural light and perfectly situated on a fully fenced corner lot. It fe,"Great Investment Opportunity for those who want to earn equity. This little gem is ready for your elbow grease. It's bathed in natural light and perfectly situated on a fully fenced corner lot. It features a spacious living room, sizeable kitchen & dining area overlooking a cozy backyard, two generous bedrooms & full size bathroom with utility room. The backyard is fully enclosed for privacy, offering a perfect space for outdoor activities. Property is sold AS-IS no work orders / CASH Only. Contact Your Agent for information on the property. The Sellers have a home inspection available from June 2024 for your review - talk to your agent today. Serious Buyers only.",,Closet/Utility,,Wood,,,0,No,1,,"Fenced-Fully, Gas Available, Patio",,,"Ceramic Tile, Double Pane/Storm Window, Fir/Softwood, Fireplace, Laminate",,Sewer Connected,,1,,Wall Unit(s),"6047 S Junett Street
Tacoma, WA 98409",,,,PartiallyFenced,,1,993 SQFT,,Buyer To Verify,"$3,380 ",,,,"$270,500 ",993 sqft,South Tacoma,1900,Y,47 - South Tacoma,,0,0,,,,0,Square Feet,2024-10-17T19:34:08.806Z,,,1,"2,777 sqft",,,1 Baths,"Electric, Natural Gas",0,0 sqft,Closing,One,Residential,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,,1,,,Sold,,0.06 Acres,Buyer To Verify,,,,,0,,Public,No,No,Level,0,0,,,TPU,House,,,Cash Out,Gas,,"Ceramic Tile, Softwood, Laminate",Tacoma,,No,,"Detached Garage, Off Street",Main,,,,,No,2024,Residential,2,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2212002-6047-S-Junett-Street-Tacoma-WA-98409/,0.0638,1,1,$0 ,2,,"SOLD: OCT 15, 2024",,,Average,0,,,1,,0,,No,0,2 Beds,,,Pierce,"Alley, Paved, Sidewalk",,,47.2011525,-122.4740512
,USE GPS,Yes,No,"Dishwasher(s), Dryer(s), Microwave(s), Stove(s)/Range(s), Washer(s)",,3,,No,,,0,"Bath Off Primary, Double Pane/Storm Window, Dining Room, Fireplace, Jetted Tub, Water Heater",,0 sqft,,Yes,"$535,000 ",,,,2,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Beautiful rambler with den and bonus room, tucked away at the end of a quiet cul-de-sac in the Fife School District. This light and bright home features an open-concept living room and kitchen, perfect","Beautiful rambler with den and bonus room, tucked away at the end of a quiet cul-de-sac in the Fife School District. This light and bright home features an open-concept living room and kitchen, perfect for entertaining. The spacious primary bedroom includes a large walk-in closet, private en-suite bath, and a sliding door that opens to a generous deck. Enjoy a fully fenced backyard with plenty of room to play or garden, plus a large powered shed/workshop. There’s ample space for RV or boat parking, with potential to add a garage or carport (buyer to verify). A wonderful opportunity to own a comfortable and versatile home in a great location!",,Laundry Room Closet,,,,,0,,0,Single Family Residence,Deck,,,,,Septic Tank,,2,,"Baseboard, Fireplace Insert","6502 1st Street Court E
Tacoma, WA 98424",,,,,,0,"1,640 SQFT",,Surprise Lake Mid,"$4,070 ",,,,"$535,000 ","1,640 sqft",Fife Heights,1969,Y,70 - Fife,,0,0,,,,0,Square Feet,2025-07-05T11:03:19.738Z,,,2,"10,350 sqft",,,2 Baths,Electric,0,0 sqft,Closing,One,,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,Electric,2,,Garden Space,Sold,,0.24 Acres,Fife High,,,,,0,Window Unit(s),Public,No,No,"Level, Partial Slope, Terraces",0,0,,,Tacoma Public Utilities,House,,,,Electric,,Bamboo/Cork,Fife,,No,,Driveway,Main,,Wood Products,,East,No,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2360409-6502-1st-Street-Court-E-Tacoma-WA-98424/,0.2376,1,1,$0 ,3,,"SOLD: JUN 04, 2025",,,,0,,,,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, Rehab Loan, VA Loan",,Pierce,"Cul-De-Sac, Dead End Street, Paved",,,47.2556056,-122.3427753
,From S. 12th:  South on Moorlands Dr.; Immediate Right onto Huson Dr.  Follow Huson.  Home on Left.,Yes,No,"Dishwasher(s), Double Oven, Dryer(s), Garbage Disposal, LeasedEquipment, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,4,,No,Yes,,0,,,0 sqft,,No,"$480,000 ",,,,1,,1,11 - 1 1/2 Story,,,Yes,Closed,0,,,,Tucked in a quiet pocket neighborhood ~ On the Western edge of Central Tacoma ~ Well maintained classic home ~ Move-In-Ready!!   3 bedrooms on the main ~ 4th bedroom/bonus room 1/2 flight up.  True t,"Tucked in a quiet pocket neighborhood ~ On the Western edge of Central Tacoma ~ Well maintained classic home ~ Move-In-Ready!! 3 bedrooms on the main ~ 4th bedroom/bonus room 1/2 flight up. True to this period home, the floor plan is casual & meant for enjoyment. Open living spaces, gas fireplace, larger windows and joining dining room. Traditional kitchen with vintage double oven stove; sweet dining nook! Freshly painted oversized deck looks over expansive, private, fully-fenced backyard. Room for gardens, swing sets & puppies! Close to China & Snake Lake Parks as well as HWY 16. Freshly prepared for you & move-in-ready! Check out the floor plan & 360 Degree Virtual Tour! Stop by! You'll be glad you did!",,Garage,,"Brick, Wood",,,0,No,1,,"Cable TV, Deck, Electric Car Charging, Fenced-Fully, Gas Available, Outbuildings",,,"Ceiling Fan(s), Double Pane/Storm Window, Dining Room, Fireplace, Hardwood, Water Heater",,Sewer Connected,,1,,Forced Air,"1653 Huson Drive
Tacoma, WA 98405",,,,PartiallyFenced,,1,"1,437 SQFT",,Hunt,"$4,965 ",Click here,West Edge Central Tacoma,,"$480,000 ","1,437 sqft",Tacoma,1960,Y,26 - Central Tacoma,,0,0,,,,0,Square Feet,2024-12-01T12:03:58.589Z,,,1,8816,,,1 Baths,Natural Gas,0,0 sqft,Closing,OneAndOneHalf,,Delong,Yes,Residential,,,,Composition,,"Dishwasher(s), Double Oven, Dryer(s), Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,Gas,1,,Garden Space,Sold,,0.20 Acres,Silas High School,,,,,0,,Public,No,No,"Level, Partial Slope",0,0,,,TPU,House,,,,Gas,,"Hardwood, Vinyl, Vinyl Plank",Tacoma,,No,,Attached Garage,Main,,,,West,No,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2295296-1653-Huson-Drive-Tacoma-WA-98405/,0.2024,1,1,$0 ,3,,"SOLD: OCT 31, 2024",,,Very Good,0,,Traditional,1,,0,Concrete Ribbon,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Paved, Sidewalk",,,47.2445941,-122.5032122
,"From I-5, take exit 129 toward S 72nd St. Left onto S 72nd St. Right onto S Oakes St. Left on S 64th St. House will be on the left.",No,No,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,3,,No,Yes,,0,Double Pane/Storm Window,,0 sqft,,Yes,"$425,000 ",,,,1,,1,11 - 1 1/2 Story,,,Yes,Closed,0,,,,"Adorable, affordable, and absolutely move-in ready! This bright and sunny updated Craftsman blends classic charm with smart modern updates. Enjoy traditional details like craftsman trim, shutters, a cozy","Adorable, affordable, and absolutely move-in ready! This bright and sunny updated Craftsman blends classic charm with smart modern updates. Enjoy traditional details like craftsman trim, shutters, a cozy dining nook, and a cute front porch. Inside, you'll find newer flooring, a refreshed kitchen with Corian counters, cordless shades, stylish fixtures, and a heat pump to keep you cool all summer. The high-end front-load washer and dryer add everyday luxury. The fully fenced yard is perfect for pets and summer gatherings, complete with a dreamy deck. Spacious 2-car garage with alley access and a NEMA 14-50 outlet for your EV. Conveniently located near freeways, Tacoma Mall, and JBLM—this one’s a must-see!",,,,,,,0,,2,Single Family Residence,"Cable TV, Deck, Electric Car Charging, Fenced-Fully, Gas Available, High Speed Internet",,,,,Sewer Connected,,1,,"Forced Air, Heat Pump","3006 S 64th Street
Tacoma, WA 98409",,,,Fully Fenced,,2,992 SQFT,,Buyer To Verify,"$3,575 ",Click here,,,"$425,000 ",992 sqft,South Tacoma,1928,Y,47 - South Tacoma,,0,0,,,,0,Square Feet,2025-08-18T11:04:42.196Z,,,1,"4,028 sqft",,,1 Baths,"Electric, Natural Gas",0,,Closing,One and One Half,,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,,1,,,Sold,,0.09 Acres,Buyer To Verify,,,,,0,Heat Pump,Public,No,No,Level,0,0,,,Tacoma Public Utilities,House,,,,,,"Laminate, Vinyl, Carpet",Tacoma,,No,,Detached Garage,Main,,"Wood, Wood Products",,,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2394299-3006-S-64th-Street-Tacoma-WA-98409/,0.0925,0,,$0 ,2,,"SOLD: JUL 18, 2025",,,,0,,Craftsman,2,,0,,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Alley, Paved, Sidewalk",,,47.1990638,-122.4750726
,"From Hwy 509, take Slayden Rd, turns into 51st Street NE. Turn Right on Browns Point Blvd NE. Follow to the home on the right.",Yes,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Trash Compactor, Washer(s)",,4,,No,Yes,,0,,,0 sqft,,Yes,"$950,000 ",,,,3.5,,2,11 - 1 1/2 Story,,,Yes,Closed,0,,,,"Gorgeous Browns Point home set on an oversized lot, w/ Peekaboo Puget Sound views. The home has been beautifully renovated, & perfectly combines the original character & charm, w/ modern influences, gran","Gorgeous Browns Point home set on an oversized lot, w/ Peekaboo Puget Sound views. The home has been beautifully renovated, & perfectly combines the original character & charm, w/ modern influences, grand spaces & expansive windows providing ample natural light. There are 2 versatile living areas: a beautiful brick fireplace in one, & the other is open to the kitchen & full-length deck... perfect for entertaining! Primary suite & guest room on the main floor, plus 2 more bedrooms upstairs, including a 2nd primary suite w/ vaulted ceilings & beautiful ensuite. Lovely views from the additional upstairs bedroom will enchant. So much more to see w/ a separate giant shop/greenhouse with ADU potential & attached XL garage & carport. Welcome Home!",,,,"Brick, Wood",,,0,No,5,,"Deck, Fenced-Fully, High Speed Internet, Outbuildings, Patio, RV Parking, Shop, Sprinkler System",,,"Bath Off Primary, Ceiling Fan(s), Double Pane/Storm Window, Dining Room, Fireplace, French Doors, Jetted Tub, Security System, Walk-In Closet(s), Wet Bar",,Sewer Connected,,3,,Forced Air,"2360 Browns Point Boulevard
Tacoma, WA 98422",,,,"PartiallyFenced, SecuritySystem",,5,"3,315 SQFT",,Buyer To Verify,"$9,009 ",Click here,,,"$950,000 ","3,315 sqft",Ne Tacoma,1969,Y,94 - Browns Point,,0,0,No,,,0,Square Feet,2024-09-13T20:21:09.173Z,,,2,"20,909 sqft",,,3 / 1 Full / Half Baths,"Electric, Wood",0,0 sqft,Closing,OneAndOneHalf,Residential,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Trash Compactor, Washer(s)",,,,,"Bay, Ocean, Partial, Sound, Territorial",,1,,4,,"Fruit Trees, Garden Space",Sold,,0.48 Acres,Buyer To Verify,,,,,0,Central A/C,Public,No,No,Level,0,1,,,Tacoma Public Utilities,House,,,"Cash Out, Conventional, FHA, VA Loan",Wood Burning,,Engineered Hardwood,Tacoma,,Yes,,"Attached Carport, Attached Garage, Detached Garage, RV Parking",Main,,,,,0,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2271891-2360-Browns-Point-Boulevard-Tacoma-WA-98422/,0.48,1,1,,2,,"SOLD: SEP 13, 2024",,,,0,,,5,,1,Slab,No,0,4 Beds,,Yes,Pierce,"Dead End Street, Open Space, Paved",,,47.2951743,-122.4075989
,"I-5 to HWY 16 West exit 19th Street head east, Left on Stevens. Home on right  I-5 to 705 to Schuster Pkwy R onto N 30th R on Stevens home on right",No,No,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",Finished,5,,No,,,1,,,0 sqft,,Yes,"$1,199,999 ",,,,3.5,,1,15 - Multi Level,,,Yes,Closed,0,,,,"Welcome to 3601 N Stevens, a masterfully remodeled 1927 traditional tudor residence that seamlessly blends modern elegance with timeless character. Located in Tacoma's desirable North End, its prime lo","Welcome to 3601 N Stevens, a masterfully remodeled 1927 traditional tudor residence that seamlessly blends modern elegance with timeless character. Located in Tacoma's desirable North End, its prime location is close to Met market, Ruston waterfront, Proctor, Brewers row, schools and parks. It's an ideal choice for those seeking a harmonious blend of historic charm and modern living. The studs out remodel include too many upgrades to list. The large primary suite includes a loft/wet bar, office space, elegant bathroom and convenient laundry area. Exterior features include corner lot, a large fully fenced yard, and deck for entertaining. ADU is fully permitted 2bed 1 bath. Home is as good as new. Ask your agent to see upgrade list!",,Basement,,Cement/Concrete,,,0,No,0,Residential,"Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, Patio",,,"Double Pane/Storm Window, Hardwood, Loft, Vaulted Ceiling(s), Walk-In Closet(s), Wall to Wall Carpet, Water Heater, Wet Bar, Wine/Beverage Refrigerator",,Sewer Connected,,3,,"90%+ High Efficiency, Ductless HP-Mini Split, Heat Pump","3601 N Stevens Street
Tacoma, WA 98407",,,,,,0,"3,259 SQFT",,Mason,"$6,772 ",Click here,,,"$1,199,999 ","3,259 sqft",North Tacoma,1927,Y,16 - North Tacoma,,2,0,,,,0,Square Feet,2025-03-10T11:04:24.298Z,,,0,"5,000 sqft",,,3 / 1 Full / Half Baths,Electric,0,0 sqft,Closing,Multi/Split,,Sherman,No,,,,,Composition,,"Dishwasher(s), Refrigerator(s), Stove(s)/Range(s)",,,,,"Mountain(s), Partial, Territorial",,1,Electric,4,,Garden Space,Sold,,0.11 Acres,Stadium,,,,,0,"90%+ High Efficiency, Ductless HP-Mini Split, Heat Pump",Public,No,No,Level,0,1,2700,,TPU,House,,,,,,"Hardwood, Vinyl Plank, Carpet",Tacoma,,No,,"Driveway, Off Street",Main,,,,,No,2024,Residential,5,,Tacoma,,50x100,https://www.premierepropertygroup.com/property/21-2317598-3601-N-Stevens-Street-Tacoma-WA-98407/,0.1148,0,,$0 ,0,,"SOLD: FEB 07, 2025",,,,0,,Tudor,,,1,"Poured Concrete, Slab",No,0,5 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Corner Lot, Curbs, Paved, Sidewalk",,,47.2807249,-122.4957738
,"Hwy 16 to Sprague and go north. Turn Left on 6th Ave, and turn right on N Prospet. Home will be on your left in 1.5 blocks",Yes,No,StovesRanges,,3,,No,,,0,,,0 sqft,Prospect,No,"$445,000 ",,,,1,,2,11 - 1 1/2 Story,,,Yes,Closed,0,,,,Welcome home to this north Tacoma Craftsman built in 1900 and renovated in 1976.  This home is the perfect starter home filled with so much quintessential charm! Covered front porch and enclosed yard,"Welcome home to this north Tacoma Craftsman built in 1900 and renovated in 1976. This home is the perfect starter home filled with so much quintessential charm! Covered front porch and enclosed yard with a deck. 3 Bedroom and 1 bath. Walk to your favorite coffee bar, restaurants, entertainment, festivals, waterfront and more. Location creates a 'car' free opportunity, yet, there is parking. Conveniently located near the amenities of 6th Ave District such as shopping, dining, and retail. Come see before it’s gone!",,,,Wood,,,0,No,0,,"Cable TV, Fenced-Partially",Street,,"Wall to Wall Carpet, Double Pane/Storm Window, Dining Room, Wired for Generator, Fireplace",,Sewer Connected,,1,,"Baseboard, Insert","816 N Prospect Street
Tacoma, WA 98406",,,,FullyFenced,,0,"1,198 SQFT",,Hilltop Heritage Middle,"$4,878 ",Click here,,,"$445,000 ","1,198 sqft",North Tacoma,1900,Y,22 - North Tacoma,,0,0,,No,,0,Square Feet,2024-05-02T00:27:08.679Z,,,1,"3,400 sqft",,,1 Baths,"Electric, Wood",0,0 sqft,Closing,OneAndOneHalf,Residential,Grant,No,,,,,Composition,,Stove(s)/Range(s),,,,,,,0,,1,,Garden Space,Sold,,0.08 Acres,Stadium,,,,,0,,Public,No,No,Level,0,0,,,,House,,,,Wood Burning,,"Vinyl, Carpet",Tacoma,,No,,Off Street,Main,,,,,0,2023,Residential,3,,Tacoma,,99*34*100*34,https://www.premierepropertygroup.com/property/21-2206302-816-N-Prospect-Street-Tacoma-WA-98406/,0.0781,1,1,,1,,"SOLD: MAY 01, 2024",,,,0,,,,,0,Block,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",No,Pierce,"Alley, Curbs, Paved, Sidewalk",,,47.2578695,-122.4696928
,"GPS Friendly  From S 38th street going North turn East onto McKinley Ave E, then turn Right onto E 53rd street, house will be on Left",No,No,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Partially Finished,2,,No,Yes,,0,,,0 sqft,,Yes,"$383,000 ",,,,1,,1,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Nestled in a charming neighborhood, this 2-bedroom, 1-bathroom home is the perfect blend of cozy and functional. Step inside to find a bright, updated kitchen featuring sleek Frigidaire appliances, vinyl","Nestled in a charming neighborhood, this 2-bedroom, 1-bathroom home is the perfect blend of cozy and functional. Step inside to find a bright, updated kitchen featuring sleek Frigidaire appliances, vinyl, carpet, and tile flooring that add character throughout. The spacious laundry/mudroom and walk-in pantry offer practical storage solutions, while the 276 sqft. partially finished basement gives extra space for your creative touch. Outside, enjoy a large, fenced yard perfect for gatherings, and a detached 2-car garage. With parks, schools, and freeway access nearby, this home is ready for you!",,Basement,,"Wood, Wood Products",,,0,No,2,Residential,"Cable TV, Fenced-Fully, High Speed Internet",,,"Double Pane/Storm Window, Dining Room, Laminate, Walk-In Pantry, Wall to Wall Carpet, Water Heater",,Sewer Connected,,1,,Heat Pump,"708 E 53rd St
Tacoma, WA 98404",,,,PartiallyFenced,,2,"1,365 SQFT",,,"$4,286 ",,,,"$383,000 ","1,648 sqft",East Tacoma,1939,Y,58 - Southeast Tacoma,,0,0,,,,0,Square Feet,2025-01-16T12:03:22.416Z,,,1,"7,440 sqft",,,1 Baths,Electric,0,0 sqft,Closing,OneAndOneHalf,,,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,Territorial,,0,Electric,1,,"Fruit Trees, Garden Space",Sold,,0.17 Acres,,,,,,0,Central A/C,Public,No,No,Level,0,0,,,TPU,House,,,,,,"Laminate, Vinyl, Carpet",Tacoma,,No,,Detached Garage,Main,,,,,No,2024,Residential,2,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2302497-708-E-53rd-St-Tacoma-WA-98404/,0.1708,0,,$0 ,1,,"SOLD: DEC 16, 2024",,,Average,0,,,2,,0,Poured Concrete,No,0,2 Beds,"Cash Out, Conventional, VA Loan",,Pierce,Paved,,,47.2088304,-122.4222847
,"Frm:North Shore Pkwy, Lft on Nassau, Lft on Northshore Blvd, House on left. Frm:WA509 towards Port of Tacoma, Rght-McMurray, Lft-Brown's Point Blvd, Rght-Nassau, Rght-North Shore Blvd, House on Lft",Yes,No,,,4,,No,Yes,,0,,,0 sqft,,Yes,"$690,000 ",,,,2.5,,3,11 - 1 1/2 Story,,,Yes,Closed,0,,,,"Step into this beautifully remodeled Northshore Country Club Estates gem! The stunning kitchen features sleek quartz countertops, a stylish tile backsplash, and top-of-the-line SS appliances. The gener","Step into this beautifully remodeled Northshore Country Club Estates gem! The stunning kitchen features sleek quartz countertops, a stylish tile backsplash, and top-of-the-line SS appliances. The generous master suite comes with two spacious walk-in closets. Indulge in the luxurious five-piece master bath with its modern free-standing soaking tub, double vanity, and fully tiled stand-up shower. Three custom bathrooms are artfully designed with floating vanities and elegant tile finishes. The great room boasts an impressive floor-to-ceiling fireplace, creating a warm and inviting atmosphere. The garage offers ample space and functionality. Outside, the freshly landscaped, fully fenced backyard is perfect for both relaxation and recreation.",,,,"Wood, Wood Products",,,0,No,2,,"Deck, Fenced-Fully, Patio",,,"Bath Off Primary, Built-In Vacuum, Ceiling Fan(s), Double Pane/Storm Window, Dining Room, Fireplace, French Doors, Skylight(s), Vaulted Ceiling(s), Walk-In Closet(s)",,Sewer Connected,,2,,Forced Air,"3502 Northshore Boulevard NE
Tacoma, WA 98422",,,,PartiallyFenced,,2,"2,378 SQFT",,Buyer To Verify,"$7,151 ",,Northshore Country Club,,"$690,000 ","2,378 sqft",Northshore,1980,Y,94 - Browns Point,,0,0,,No,,0,Square Feet,2024-08-27T20:55:09.194Z,,,0,"8,100 sqft",,,2 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,Closing,OneAndOneHalf,Residential,Buyer To Verify,Yes,,,,,Composition,,,,,,,"Mountain(s), Partial, Territorial",,1,,3,,Garden Space,Sold,,0.19 Acres,Buyer To Verify,,,,,0,Central A/C,Public,No,No,"Level, Partial Slope",0,1,,,Tacoma Public Utilities,House,,,"Cash Out, Conventional, FHA, VA Loan",Wood Burning,,,Tacoma,,No,,"Driveway, Attached Garage, Off Street",Main,,,,,0,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2253087-3502-Northshore-Boulevard-Ne-Tacoma-WA-98422/,0.186,1,1,,1,,"SOLD: AUG 27, 2024",,,,0,,,2,,2,,No,0,4 Beds,,Yes,Pierce,"Corner Lot, Paved, Sidewalk",,,47.2891485,-122.3988846
,"From Pacific Ave S, East on 131st St S, Continue onto Brookdale Rd E. Home on Right.",Yes,No,"Dishwashers, Dryers, GarbageDisposal, Refrigerators, StovesRanges, Washers",,3,,No,Yes,,0,,,0 sqft,,No,"$520,000 ",,,,2.5,,3,13 - Tri-Level,,,Yes,Closed,1,,,,"Welcome to this stunning tri-level home boasts 3 bedrooms and 2.5 bathrooms, offering ample space for comfort. Step into the inviting open-concept main floor living area, featuring a wood burning firep","Welcome to this stunning tri-level home boasts 3 bedrooms and 2.5 bathrooms, offering ample space for comfort. Step into the inviting open-concept main floor living area, featuring a wood burning fireplace, beautifully remodeled kitchen with an island, counter seating, and stainless-steel appliances. Retreat to the luxurious primary bedroom complete with a full en-suite. Two additional bedrooms and a spacious rec room offers room to roam. Outside, the expansive back deck overlooks the large yard. Attached 2-car garage and plenty of parking available. Don't miss the opportunity to make this your forever home!",,,,"Cement/Concrete, Wood Products",,,0,No,2,,,,,"Hardwood, Laminate, Fireplace",,Sewer Connected,,2,,"Forced Air, High Efficiency (Unspecified)","968 Brookdale Road E
Tacoma, WA 98445",,,,,,2,"1,806 SQFT",,Buyer To Verify,"$5,428 ",Click here,,,"$520,000 ","1,806 sqft",Tacoma,1978,Y,68 - Parkland,,0,0,,No,,0,Square Feet,2024-06-14T21:16:08.916Z,,,0,"14,374 sqft",,,2 / 1 Full / Half Baths,Electric,0,0 sqft,Closing,Three Or More,Residential,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,River,,0,,3,,"Fruit Trees, Garden Space",Sold,,0.33 Acres,Buyer To Verify,,,,,0,,Public,No,No,,0,1,,,Parkland Water Company,House,,,,Wood Burning,,"Hardwood, Laminate",Franklin Pierce,,No,,"Driveway, Attached Garage",Main,,,,,0,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2228713-968-Brookdale-Road-E-Tacoma-WA-98445/,0.33,1,1,,0,,"SOLD: JUN 14, 2024",,,,0,,,2,,2,Block,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",Yes,Pierce,,,,47.1352007,-122.4176929
